0,100,7,92,5,68,19,45,86,34,100,45,74,23,67,0,0
0,100,3,72,26,35,85,35,100,71,73,97,65,49,66,0,0
74,87,31,100,0,69,62,64,100,79,100,38,84,0,18,1,1
91,74,54,100,0,87,23,59,81,67,100,39,79,4,21,0,1
0,85,38,100,81,88,87,50,84,12,58,0,53,22,100,24,0
99,80,63,100,25,76,79,68,100,62,97,23,54,0,0,16,1
11,100,0,69,15,43,87,47,100,65,74,67,71,33,66,0,0
46,100,10,83,34,64,100,77,71,82,49,54,22,27,0,0,0
0,98,36,100,80,85,68,42,56,0,25,23,50,37,100,32,0
0,0,31,15,63,30,88,52,100,79,82,100,56,82,79,64,1
77,97,40,100,0,59,9,29,84,33,100,64,77,44,48,0,0
64,93,0,67,97,67,89,100,14,70,100,68,96,36,28,0,1
0,93,62,100,100,78,69,43,50,5,35,0,15,35,86,37,0
63,100,40,73,70,63,100,77,79,74,55,48,29,23,0,0,0
17,100,0,74,6,36,77,37,100,63,73,95,71,47,75,0,0
0,100,61,100,100,93,63,64,36,33,14,0,9,29,47,42,0
80,100,36,100,58,80,65,82,82,47,100,14,53,0,0,7,1
34,100,21,76,0,35,43,30,91,29,100,41,74,46,67,0,0
90,71,100,100,25,85,10,50,80,62,99,53,64,17,0,0,1
0,97,42,100,67,71,53,35,34,0,16,23,40,42,100,42,0
46,100,21,85,0,60,24,42,68,44,100,49,76,25,58,0,0
0,100,54,98,91,85,71,52,62,17,74,0,100,32,42,37,0
95,92,50,100,21,77,74,87,100,86,69,56,37,26,0,0,1
22,100,1,66,0,33,50,32,100,36,82,63,77,30,71,0,0
3,96,53,100,81,68,83,28,72,0,100,34,51,41,0,43,0
40,72,16,50,96,69,70,100,0,73,65,57,100,47,94,0,1
0,87,37,100,19,70,5,42,88,49,100,58,84,28,88,0,0
50,97,72,68,100,100,42,86,93,72,89,48,70,7,0,0,1
42,100,9,79,0,46,48,31,100,46,89,52,46,30,19,0,0
37,100,48,57,74,97,27,97,80,68,100,26,49,0,0,22,1
16,100,0,78,5,54,41,32,93,39,100,48,91,24,89,0,0
22,93,0,95,50,97,100,100,67,81,43,56,28,28,30,0,0
96,100,52,95,48,76,96,98,100,85,71,54,39,25,0,0,1
53,87,32,47,98,64,69,100,58,69,100,61,71,3,0,0,1
67,100,30,90,0,57,41,40,100,53,98,67,66,34,40,0,0
100,88,69,100,20,84,70,86,93,71,70,44,38,19,0,0,1
19,100,4,77,0,51,46,36,100,47,96,49,87,23,77,0,0
47,100,40,82,18,49,0,19,53,20,92,34,94,35,100,0,0
13,80,53,71,100,100,23,99,0,71,81,74,74,40,47,0,1
72,100,38,84,13,63,0,40,40,28,88,31,100,22,84,0,0
0,100,67,100,86,72,56,37,34,0,6,33,32,45,100,46,0
0,59,77,74,100,100,17,93,7,71,82,68,45,35,20,0,1
2,85,31,100,76,74,62,37,47,0,100,8,68,30,0,41,0
13,100,0,76,28,53,94,56,100,76,93,66,94,33,91,0,0
24,100,100,99,93,78,64,48,39,17,19,0,0,31,72,38,0
88,99,45,82,78,75,90,100,100,68,93,36,59,9,0,0,1
30,100,16,84,0,51,28,26,80,33,100,65,79,34,68,0,0
0,78,18,96,59,95,100,100,86,82,66,56,52,29,47,0,0
0,91,46,100,85,80,91,40,88,0,99,22,100,52,50,49,0
21,92,85,100,90,67,67,34,49,0,0,26,27,43,100,42,0
79,74,21,67,15,92,71,100,100,75,73,45,36,18,0,0,1
19,86,35,72,95,94,0,100,60,78,100,52,67,26,26,0,1
83,86,44,100,0,74,58,67,100,94,89,63,77,31,75,0,1
0,97,43,100,58,62,41,17,26,0,8,36,54,34,100,33,0
89,87,38,100,17,78,80,77,100,76,92,34,61,0,0,4,1
67,100,36,82,0,60,5,37,66,38,100,50,73,25,56,0,0
53,100,23,77,0,57,74,66,100,79,70,85,44,42,16,0,0
27,100,0,74,40,54,100,59,84,91,57,64,43,32,33,0,0
69,100,31,73,39,55,89,62,100,84,63,57,31,28,0,0,0
0,87,55,100,100,81,74,41,49,0,20,10,32,32,99,35,0
